# Tabela Completa — Códigos de Status HTTP (IANA + RFCs + Extensões)

|  Código | Nome                            | Categoria              | Explicação breve                         | Exemplo de uso                                                                            |
| ------: | ------------------------------- | ---------------------- | ---------------------------------------- | ----------------------------------------------------------------------------------------- |
|     100 | Continue                        | 1xx — Informacional    | Parte inicial recebida, pode continuar.  | Enviado quando o cliente envia um upload grande e o servidor sinaliza que pode continuar. |
|     101 | Switching Protocols             | 1xx — Informacional    | Trocando protocolo conforme pedido.      | Ao mudar de HTTP para WebSocket.                                                          |
|     102 | Processing                      | 1xx — Informacional    | Processando (WebDAV).                    | Usado em operações demoradas WebDAV.                                                      |
|     103 | Early Hints                     | 1xx — Informacional    | Envia cabeçalhos antecipadamente.        | Enviado para o navegador pré-carregar recursos CSS antes da resposta final.               |
|     200 | OK                              | 2xx — Sucesso          | Requisição bem-sucedida.                 | Ao retornar dados de uma API com sucesso.                                                 |
|     201 | Created                         | 2xx — Sucesso          | Recurso criado com sucesso.              | Quando um usuário é cadastrado via POST.                                                  |
|     202 | Accepted                        | 2xx — Sucesso          | Requisição aceita para processamento.    | Quando um job é enfileirado para processamento assíncrono.                                |
|     203 | Non-Authoritative Information   | 2xx — Sucesso          | Metadados alterados por proxy/cache.     | Proxy retorna conteúdo alterado.                                                          |
|     204 | No Content                      | 2xx — Sucesso          | Sem corpo na resposta.                   | Após deletar um recurso com sucesso.                                                      |
|     205 | Reset Content                   | 2xx — Sucesso          | Cliente deve resetar formulário/tela.    | Após envio bem-sucedido de formulário.                                                    |
|     206 | Partial Content                 | 2xx — Sucesso          | Resposta parcial (Range).                | Download interrompido sendo retomado.                                                     |
|     207 | Multi-Status                    | 2xx — Sucesso          | Múltiplos códigos em XML (WebDAV).       | Retorno de várias operações WebDAV.                                                       |
|     208 | Already Reported                | 2xx — Sucesso          | Evita duplicação (WebDAV).               | Retorno de status em coleções WebDAV.                                                     |
|     226 | IM Used                         | 2xx — Sucesso          | Usado com delta encoding.                | Reenvio apenas de partes alteradas de um documento.                                       |
|     300 | Multiple Choices                | 3xx — Redirecionamento | Várias opções disponíveis.               | Um arquivo existe em múltiplos formatos (HTML, JSON).                                     |
|     301 | Moved Permanently               | 3xx — Redirecionamento | URL movida permanentemente.              | Página antiga redireciona para nova.                                                      |
